"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"FREN-012x","French 120 Language Practicum","","1.0 unit","Lecture","34216D","716","TBA","","12","0","0","","TBD"
"FREN-015x","French 150 Language Practicum","","1.0 unit","Lecture","34236D","716","TBA","","12","0","0","Guilan Siassi","TBD"
"FREN-120","French I","","4.0 units","Lecture","34206D","001","10:00-10:50am","MTuWTh","19","0","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34207D","001","11:00-11:50am","MTuWTh","19","0","0","Julia Chamberlin","WPH101"
"","","","","Lecture","34208D","001","1:00-1:50pm","MTuWTh","19","0","0","","THH106"
"","","","","Lecture","34214D","001","2:00-3:50pm","Tue, Thu","19","0","0","","WPH103"
"FREN-150","French II","P","4.0 units","Lecture","34221R","001","8:00-9:50am","Tue, Thu","19","0","0","Guilan Siassi","DMC107"
"","","","","Lecture","34224R","001","10:00-11:50am","Tue, Thu","19","0","0","Guilan Siassi","DMC201"
"","","","","Lecture","34226R","001","10:00-10:50am","MTuWTh","19","0","0","Jennifer Misran","THH106"
"","","","","Lecture","34228R","001","11:00-11:50am","MTuWTh","19","0","0","Jennifer Misran","THH106"
"","","","","Lecture","34233R","001","2:00-3:50pm","Tue, Thu","19","0","0","Jennifer Misran","THH106"
"","","","","Lecture","34234R","001","4:00-5:50pm","Tue, Thu","19","0","0","Mina Soroosh","THH214"
"FREN-175","Accelerated French for Speakers of Spanish and Other Romance Languages","P","4.0 units","Lecture","34239R","001","2:00-3:50pm","Mon, Wed","19","0","0","Ruggero Sciuto","THH115"
"FREN-220","French III","P","4.0 units","Lecture","34242R","001","8:00-9:50am","Mon, Wed","19","0","0","Nathalie Burle","DMC210"
"","","","","Lecture","34244R","001","10:00-11:50am","Mon, Wed","19","0","0","Nathalie Burle","DMC210"
"","","","","Lecture","34245R","001","10:00-10:50am","TuWThF","19","0","0","Rania Ben Amor","DMC161"
"","","","","Lecture","34247R","001","12:00-12:50pm","TuWThF","19","0","0","Rania Ben Amor","THH110"
"","","","","Lecture","34250R","001","1:00-1:50pm","TuWThF","19","0","0","Rania Ben Amor","THH110"
"","","","","Lecture","34251R","001","12:00-1:50pm","Mon, Wed","19","0","0","Mina Soroosh","WPH202"
"","","","","Lecture","34253R","001","2:00-3:50pm","Mon, Wed","19","0","0","Mina Soroosh","DMC151"
"","","","","Lecture","34254R","001","4:00-5:50pm","Mon, Wed","19","0","0","","DMC151"
"FREN-235x","Intermediate Conversational French","PM","2.0 units","Lecture","34256R","001","1:00-1:50pm","Mon, Wed","16","0","0","Julia Chamberlin","THH203"
"FREN-250","French IV","P","4.0 units","Lecture","34260R","001","10:00-11:50am","Mon, Wed","16","0","0","Robert Decker","WPHB26"
"","","","","Lecture","34262R","001","2:00-3:50pm","Tue, Thu","16","0","0","","WPHB30"
"FREN-270gw","Black Europe","","4.0 units","Lecture","34263R","001","5:00-6:20pm","Tue, Thu","100","0","0","Edwin Hill","THH102"
"","","","","Discussion","34264R","001","9:00-9:50am","Friday","25","0","0","","THH213"
"","","","","Discussion","34265R","001","10:00-10:50am","Friday","25","0","0","","THH213"
"","","","","Discussion","34266R","001","11:00-11:50am","Friday","25","0","0","","THH215"
"","","","","Discussion","34267R","001","12:00-12:50pm","Friday","25","0","0","","THH215"
"FREN-272gp","Medicine, Health and the Body in Literature and Culture","","4.0 units","Lecture","34268R","001","12:30-1:50pm","Tue, Thu","19","0","0","Julie Van Dam",""
"FREN-300","French Grammar and Composition","P","4.0 units","Lecture","34270R","001","11:00-12:20pm","Tue, Thu","12","0","0","Atiyeh Showrai","DMC104"
"FREN-330","Critical Writing in French","P","4.0 units","Lecture","34275R","001","9:30-10:50am","Tue, Thu","12","0","0","Beatrice Mousli","DMC103"
"FREN-347g","Race, Gender and Power in Francophone Literature","","4.0 units","Lecture","34280R","001","2:00-3:20pm","Mon, Wed","19","0","0","Robert Decker","THHB9"
"FREN-383","French Women Writers","","4.0 units","Lecture","34284R","001","11:00-12:20pm","Tue, Thu","19","0","0","Antonia Szabari","DMC157"
"FREN-393","Theories and Theorists","","4.0 units, max 8","Lecture","34291R","001","12:00-1:50pm","Mon, Wed","16","0","0","Natania Meeker","THHB10"
"FREN-404","Studies in an Author","P","4.0 units","Lecture","34293R","001","2:00-3:20pm","Tue, Thu","19","0","0","Panivong Norindr",""
"FREN-448m","France and Islam","P","4.0 units","Lecture","34295R","001","10:00-11:50am","Mon, Wed","19","0","0","Olivia C Harrison","THH214"
"FREN-490x","Directed Research","C","1.0-8.0 units, max 12","Lecture","34300D","001","TBA","","10","0","0","","OFFICE"
"FREN-500","Pro-Seminar in French and Francophone Studies","","4.0 units","Lecture","34305D","001","2:00-4:50pm","Tuesday","10","0","0","Edwin Hill",""
"FREN-592","Practicum in Teaching French","","2.0 units","Lecture","34351D","001","2:00-3:50pm","Monday","10","0","0","Julia Chamberlin","THH105"
